Province_State,Last_Update,Lat,Long_,Confirmed,Deaths,FIPS,Incident_Rate
Alabama,2021-01-02,32.3182,-86.9023,365747,4872,1,7459.375895463867
Alabama,2021-01-03,32.3182,-86.9023,369458,4872,1,7535.061393767521
Alabama,2021-01-04,32.3182,-86.9023,371934,4873,1,7585.559182449775
Alabama,2021-01-05,32.3182,-86.9023,374095,4878,1,7629.632575560579
Alabama,2021-01-06,32.3182,-86.9023,379593,4886,1,7741.763771915602
Alabama,2021-01-07,32.3182,-86.9023,384184,4994,1,7835.396788006164
Alabama,2021-01-08,32.3182,-86.9023,389230,5080,1,7938.30948658882
Alabama,2021-01-09,32.3182,-86.9023,394287,5191,1,8041.446529143812
Alabama,2021-01-10,32.3182,-86.9023,399150,5299,1,8140.626959823054
Alabama,2021-01-11,32.3182,-86.9023,401900,5334,1,8196.71295290714
Alabama,2021-01-12,32.3182,-86.9023,404000,5347,1,8239.542256716808
Alabama,2021-01-13,32.3182,-86.9023,407848,5573,1,8318.021857221378
Alabama,2021-01-14,32.3182,-86.9023,410995,5760,1,8382.20462821615
Alabama,2021-01-15,32.3182,-86.9023,414583,5945,1,8455.381553010951
Alabama,2021-01-16,32.3182,-86.9023,417528,6030,1,8515.444552877365
Alabama,2021-01-17,32.3182,-86.9023,420681,6119,1,8579.749693311593
Alabama,2021-01-18,32.3182,-86.9023,422598,6120,1,8618.846729217845
Alabama,2021-01-19,32.3182,-86.9023,424028,6121,1,8648.01144562157
Alabama,2021-01-20,32.3182,-86.9023,426543,6126,1,8699.30463566029
Alabama,2021-01-21,32.3182,-86.9023,429655,6283,1,8762.7735849249
Alabama,2021-01-22,32.3182,-86.9023,432536,6379,1,8821.531310770448
Alabama,2021-01-23,32.3182,-86.9023,436087,6486,1,8893.953624021937
Alabama,2021-01-24,32.3182,-86.9023,439442,6657,1,8962.378535584523
Alabama,2021-01-25,32.3182,-86.9023,441170,6660,1,8997.620934147906
Alabama,2021-01-26,32.3182,-86.9023,443009,6662,1,9035.127167341228
Alabama,2021-01-27,32.3182,-86.9023,445909,6896,1,9094.27239641172
Alabama,2021-01-28,32.3182,-86.9023,449086,7172,1,9159.067014603774
Alabama,2021-01-29,32.3182,-86.9023,452734,7340,1,9233.467633793136
Alabama,2021-01-30,32.3182,-86.9023,455582,7566,1,9291.552327721674
Alabama,2021-01-31,32.3182,-86.9023,455582,7566,1,9291.552327721674
Alabama,2021-02-01,32.3182,-86.9023,459639,7688,1,9374.294463700637
Alabama,2021-02-02,32.3182,-86.9023,460860,7688,1,9399.19664462997
Alabama,2021-02-03,32.3182,-86.9023,462938,7894,1,9441.577260494963
Alabama,2021-02-04,32.3182,-86.9023,465056,8203,1,9484.773672623
Alabama,2021-02-05,32.3182,-86.9023,467823,8365,1,9541.20637911888
Alabama,2021-02-06,32.3182,-86.9023,469319,8449,1,9571.717159356622
Alabama,2021-02-07,32.3182,-86.9023,471311,8513,1,9612.343813256077
Alabama,2021-02-08,32.3182,-86.9023,472423,8515,1,9635.022949368624
Alabama,2021-02-09,32.3182,-86.9023,473348,8523,1,9653.888237951454
Alabama,2021-02-10,32.3182,-86.9023,474666,8579,1,9680.768724818665
Alabama,2021-02-11,32.3182,-86.9023,476067,8888,1,9709.341988931685
Alabama,2021-02-12,32.3182,-86.9023,477570,9021,1,9739.99553351546
Alabama,2021-02-13,32.3182,-86.9023,478667,9180,1,9762.368746029366
Alabama,2021-02-14,32.3182,-86.9023,479856,9242,1,9786.618289948268
Alabama,2021-02-15,32.3182,-86.9023,480931,9242,1,9808.542814517505
Alabama,2021-02-16,32.3182,-86.9023,481605,9244,1,9822.288981549747
Alabama,2021-02-17,32.3182,-86.9023,482488,9257,1,9840.297684056384
Alabama,2021-02-18,32.3182,-86.9023,483167,9346,1,9854.14582562151
Alabama,2021-02-19,32.3182,-86.9023,484365,9424,1,9878.578923699595
Alabama,2021-02-20,32.3182,-86.9023,485212,9573,1,9895.853409569494
Alabama,2021-02-21,32.3182,-86.9023,485986,9590,1,9911.639067259342
Alabama,2021-02-22,32.3182,-86.9023,486843,9592,1,9929.117502195002
Alabama,2021-02-23,32.3182,-86.9023,487520,9592,1,9942.924853946975
Alabama,2021-02-24,32.3182,-86.9023,488973,9660,1,9972.55865320195
Alabama,2021-02-25,32.3182,-86.9023,490220,9744,1,9997.99110170226
Alabama,2021-02-26,32.3182,-86.9023,491110,9831,1,10016.14256855493
Alabama,2021-02-27,32.3182,-86.9023,491849,9869,1,10031.214404514616
Alabama,2021-02-28,32.3182,-86.9023,492683,9930,1,10048.223756599027
Alabama,2021-03-01,32.3182,-86.9023,493252,9929,1,10059.828458440788
Alabama,2021-03-02,32.3182,-86.9023,493769,9931,1,10070.372625140595
Alabama,2021-03-03,32.3182,-86.9023,494421,9991,1,10083.67010422817
Alabama,2021-03-04,32.3182,-86.9023,497154,10029,1,10139.409383900464
Alabama,2021-03-05,32.3182,-86.9023,498076,10094,1,10158.213487763564
Alabama,2021-03-06,32.3182,-86.9023,498887,10122,1,10174.753756996728
Alabama,2021-03-07,32.3182,-86.9023,499411,10149,1,10185.440688042569
Alabama,2021-03-08,32.3182,-86.9023,499819,10148,1,10193.761809925589
Alabama,2021-03-09,32.3182,-86.9023,500092,10148,1,10199.329619420843
Alabama,2021-03-10,32.3182,-86.9023,500616,10186,1,10210.016550466686
Alabama,2021-03-11,32.3182,-86.9023,501398,10222,1,10225.965367409142
Alabama,2021-03-12,32.3182,-86.9023,502263,10274,1,10243.60696159741
Alabama,2021-03-13,32.3182,-86.9023,502711,10299,1,10252.743879743472
Alabama,2021-03-14,32.3182,-86.9023,503305,10327,1,10264.858454249636
Alabama,2021-03-15,32.3182,-86.9023,503673,10327,1,10272.363779869616
Alabama,2021-03-16,32.3182,-86.9023,508229,10329,1,10365.282974230016
Alabama,2021-03-17,32.3182,-86.9023,508717,10337,1,10375.23568863912
Alabama,2021-03-18,32.3182,-86.9023,509476,10363,1,10390.715422730327
Alabama,2021-03-19,32.3182,-86.9023,510048,10391,1,10402.381309291815
Alabama,2021-03-20,32.3182,-86.9023,510579,10425,1,10413.21100468369
Alabama,2021-03-21,32.3182,-86.9023,511087,10436,1,10423.571617224314
Alabama,2021-03-22,32.3182,-86.9023,511460,10436,1,10431.178917377174
Alabama,2021-03-23,32.3182,-86.9023,511779,10436,1,10437.68489257493
Alabama,2021-03-24,32.3182,-86.9023,511789,10450,1,10437.888841640688
Alabama,2021-03-25,32.3182,-86.9023,512711,10487,1,10456.69294550379
Alabama,2021-03-26,32.3182,-86.9023,513138,10504,1,10465.401570611755
Alabama,2021-03-27,32.3182,-86.9023,513580,10523,1,10474.41611931836
Alabama,2021-03-28,32.3182,-86.9023,514072,10526,1,10484.450413353768
Alabama,2021-03-29,32.3182,-86.9023,514391,10526,1,10490.956388551524
Alabama,2021-03-30,32.3182,-86.9023,514619,10526,1,10495.60642725086
Alabama,2021-03-31,32.3182,-86.9023,514980,10527,1,10502.968988524806
Alabama,2021-04-01,32.3182,-86.9023,515388,10554,1,10511.290110407826
Alabama,2021-04-02,32.3182,-86.9023,515866,10553,1,10521.03887575117
Alabama,2021-04-03,32.3182,-86.9023,516266,10607,1,10529.196838381582
Alabama,2021-04-04,32.3182,-86.9023,516615,10637,1,10536.314660776618
Alabama,2021-04-05,32.3182,-86.9023,516809,10637,1,10540.271272652368
Alabama,2021-04-06,32.3182,-86.9023,516918,10638,1,10542.494317469156
Alabama,2021-04-07,32.3182,-86.9023,517114,10652,1,10546.491719158055
Alabama,2021-04-08,32.3182,-86.9023,517452,10652,1,10553.385197580756
Alabama,2021-04-09,32.3182,-86.9023,517916,10675,1,10562.848434232035
